ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT4,PAY_AMT5,PAY_AMT6,Pay%1,Pay%2,Pay%3,default,FICO
4,50000,2,2,1,37,28314,28959,29547,1111,1169,1111,0.04,0.04,0.04,0,MT700
15,250000,1,1,2,29,59696,56875,55512,3111,3111,3111,0.05,0.05,0.06,0,MT700
17,20000,1,1,2,24,18338,17915,19114,1,1651,1,0,0.09,0,1,LT500
18,320000,1,1,1,49,71174,5856,195599,21111,195599,51111,0.3,33.4,0.26,0,MT700
21,130000,2,3,2,39,21616,11812,931,2111,931,33764,0.1,0.08,36.27,0,MT700
30,50000,1,1,2,26,17917,18375,11411,1111,1611,1,0.06,0.09,0,0,MT700
33,1.00E+05,1,1,2,32,81958,78713,75589,3214,3211,2514,0.04,0.04,0.03,0,MT700
41,360000,1,1,2,33,628699,195969,179224,188841,28111,4111,0.3,0.14,0.02,0,MT700
43,10000,1,2,2,22,3576,3671,4451,311,1111,511,0.09,0.3,0.11,0,MT700
63,50000,1,1,2,29,25865,27667,28264,2225,1211,1,0.09,0.04,0,1,LT500
72,320000,1,2,2,29,58622,62317,63526,4811,2411,1611,0.08,0.04,0.03,1,LT500
79,30000,2,2,2,22,28114,26446,6411,3111,1765,1,0.11,0.07,0,1,LT500
84,4.00E+05,2,2,1,44,114431,114991,94158,3111,3211,2811,0.03,0.03,0.03,0,MT700
88,160000,2,2,2,32,8614,7172,766,1,766,2313,0,0.11,3.02,0,MT700
90,20000,1,3,2,44,11488,12314,11971,2111,1,1511,0.18,0,0.13,0,LT500
95,60000,2,2,2,23,19595,19219,19323,691,816,835,0.04,0.04,0.04,0,MT700
97,360000,1,1,1,43,6451,26371,9956,27111,1,68978,4.2,0,6.93,0,LT500
105,60000,2,2,2,26,61218,55447,55315,6,3111,3111,0,0.06,0.06,0,MT700
107,80000,2,2,1,36,3319,1151,1151,1151,1151,1135,0.35,1,0.99,0,MT700
115,50000,1,2,2,41,21274,21311,19957,718,724,684,0.03,0.03,0.03,0,MT700
124,310000,2,2,1,35,258611,246491,198889,8599,6833,5987,0.03,0.03,0.03,1,LT500
127,2.00E+05,1,3,2,52,111914,113146,114993,3848,3669,3784,0.03,0.03,0.03,0,MT700
134,330000,1,3,1,46,227587,227775,228213,8175,8391,8211,0.04,0.04,0.04,0,MT700
161,30000,1,1,2,41,28168,27579,28321,1,1211,1251,0,0.04,0.04,0,MT700
173,50000,2,2,2,22,7457,3115,7725,1,5111,11111,0,1.64,1.44,0,MT700
185,20000,1,2,2,25,12281,1615,1621,135,1824,1,0.01,1.13,0,0,MT700
189,130000,2,2,1,34,13576,13864,14636,511,1111,2111,0.04,0.08,0.14,0,MT700
191,310000,1,1,2,32,65875,61387,43328,5128,5161,4223,0.08,0.08,0.1,0,MT700
213,40000,2,3,1,43,36217,33138,31339,1511,1511,1111,0.04,0.05,0.04,0,MT700
218,80000,1,2,2,36,81116,76235,78245,3111,3511,3111,0.04,0.05,0.04,0,MT700
226,170000,2,1,2,28,125514,127281,128839,4821,4877,4962,0.04,0.04,0.04,0,MT700
229,50000,1,2,2,23,21247,21166,18858,714,717,1114,0.03,0.03,0.06,1,LT500
242,50000,1,1,2,39,51813,31789,15874,2111,2111,2111,0.04,0.07,0.13,0,MT700
